Date,Time,Camera,Location,Confidence,Image,Video,Alert Sent
26-06-2026,17:48:40,Pool-1,North Pool,0.95,,,YES
26-06-2026,17:49:35,Pool-1,North Pool,0.95,,,YES
26-06-2026,18:19:22,Video 1,Stored Video,0.78,D:\KOLADILIP K\7th Sem\Project\Project\drowning-incident-detection-main\evidence\images\Video_1_20260626_181922.jpg,D:\KOLADILIP K\7th Sem\Project\Project\drowning-incident-detection-main\evidence\videos\Video_1_20260626_181922.mp4,NO
26-06-2026,18:19:36,Video 2,Stored Video,0.7,D:\KOLADILIP K\7th Sem\Project\Project\drowning-incident-detection-main\evidence\images\Video_2_20260626_181936.jpg,D:\KOLADILIP K\7th Sem\Project\Project\drowning-incident-detection-main\evidence\videos\Video_2_20260626_181936.mp4,NO
26-06-2026,18:19:58,Video 3,Stored Video,0.63,D:\KOLADILIP K\7th Sem\Project\Project\drowning-incident-detection-main\evidence\images\Video_3_20260626_181958.jpg,D:\KOLADILIP K\7th Sem\Project\Project\drowning-incident-detection-main\evidence\videos\Video_3_20260626_181958.mp4,NO
26-06-2026,18:20:22,Webcam,Local Webcam,0.34,D:\KOLADILIP K\7th Sem\Project\Project\drowning-incident-detection-main\evidence\images\Webcam_20260626_182022.jpg,D:\KOLADILIP K\7th Sem\Project\Project\drowning-incident-detection-main\evidence\videos\Webcam_20260626_182022.mp4,NO
26-06-2026,18:20:52,Webcam,Local Webcam,0.4,D:\KOLADILIP K\7th Sem\Project\Project\drowning-incident-detection-main\evidence\images\Webcam_20260626_182052.jpg,D:\KOLADILIP K\7th Sem\Project\Project\drowning-incident-detection-main\evidence\videos\Webcam_20260626_182045.mp4,NO
26-06-2026,18:28:01,YouTube,youtu.be,0.69,D:\KOLADILIP K\7th Sem\Project\Project\drowning-incident-detection-main\evidence\images\YouTube_20260626_182801.jpg,D:\KOLADILIP K\7th Sem\Project\Project\drowning-incident-detection-main\evidence\videos\YouTube_20260626_182801.mp4,NO
26-06-2026,18:28:28,Pool-1,North Pool,0.43,D:\KOLADILIP K\7th Sem\Project\Project\drowning-incident-detection-main\evidence\images\Pool-1_20260626_182828.jpg,D:\KOLADILIP K\7th Sem\Project\Project\drowning-incident-detection-main\evidence\videos\Pool-1_20260626_182828.mp4,NO
26-06-2026,18:42:54,Video 1,Stored Video,0.78,D:\KOLADILIP K\7th Sem\Project\Project\drowning-incident-detection-main\evidence\images\Video_1_20260626_184254.jpg,D:\KOLADILIP K\7th Sem\Project\Project\drowning-incident-detection-main\evidence\videos\Video_1_20260626_184254.mp4,NO
26-06-2026,18:43:10,Webcam,Local Webcam,0.7,D:\KOLADILIP K\7th Sem\Project\Project\drowning-incident-detection-main\evidence\images\Webcam_20260626_184310.jpg,D:\KOLADILIP K\7th Sem\Project\Project\drowning-incident-detection-main\evidence\videos\Webcam_20260626_184310.mp4,NO
26-06-2026,18:44:07,Pool-1,North Pool,0.89,D:\KOLADILIP K\7th Sem\Project\Project\drowning-incident-detection-main\evidence\images\Pool-1_20260626_184407.jpg,D:\KOLADILIP K\7th Sem\Project\Project\drowning-incident-detection-main\evidence\videos\Pool-1_20260626_184352.mp4,NO
